Adding a category as admin,2023-05-05 14:38:43
Displaying self details as customer,2023-05-05 14:44:19
ADding a product as admin,2023-05-05 14:44:56
Adding a category as admin,2023-05-05 14:45:26
ADding a product as admin,2023-05-05 14:45:59
Adding a product as admin,2023-05-05 14:48:15
Adding a category as admin,2023-05-15 22:23:59
Adding a category as admin,2023-05-15 22:31:40
Adding a category as admin,2023-05-15 22:36:23
Adding a category as admin,2023-05-15 22:39:39
Adding a category as admin,2023-05-15 22:43:53
Adding a category as admin,2023-05-15 22:54:44
Adding a category as admin,2023-05-16 23:50:59
Displaying admin details as customer,2023-05-24 21:29:06
Deleting a product as admin,2023-05-24 21:41:49
Deleting a product as admin,2023-05-24 21:42:38
Deleting a product as admin,2023-05-24 21:43:55
Deleting a product as admin,2023-05-24 21:44:46
Deleting a product as admin,2023-05-24 21:46:52
Deleting a product as admin,2023-05-24 21:49:15
Deleting a product as admin,2023-05-24 21:55:01
Displaying a category details as customers,2023-05-24 22:34:49
